# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jul 13 15:40:13 2023
# COLUMN name:        Planet Name
# COLUMN pl_eqt:         Equilibrium Temperature [K]
name	temp
Kepler-1092 b	508
Kepler-1093 b	776
Kepler-1093 c	508
Kepler-1094 b	480
Kepler-1095 b	1108
Kepler-1096 b	794
Kepler-1097 b	267
Kepler-1098 b	1319
Kepler-1099 b	1558
Kepler-11 b	849
Kepler-11 c	786
Kepler-11 d	653
Kepler-11 e	582
Kepler-11 f	513
Kepler-11 g	376
Kepler-110 b	1008
Kepler-110 c	743
Kepler-1100 b	1000
Kepler-1101 b	393
Kepler-1102 b	546
Kepler-1103 b	736
Kepler-1104 b	1321
Kepler-1105 b	729
Kepler-1106 b	2199
Kepler-1107 b	1897
Kepler-1108 b	1063
Kepler-1109 b	787
Kepler-111 b	1356
Kepler-111 c	333
Kepler-1110 b	609
Kepler-1111 b	938
Kepler-1112 b	918
Kepler-1113 b	558
Kepler-1114 b	631
Kepler-1115 b	1381
Kepler-1116 b	488
Kepler-1117 b	938
Kepler-1118 b	502
Kepler-1119 b	938
Kepler-112 b	809
Kepler-112 c	538
Kepler-1120 b	1027
Kepler-1121 b	1008
Kepler-1122 b	526
Kepler-1123 b	1061
Kepler-1124 b	621
Kepler-1125 b	778
Kepler-1126 b	374
Kepler-1126 c	305
Kepler-1127 b	994
Kepler-1128 b	424
Kepler-1129 b	737
Kepler-1129 c	503
Kepler-113 b	775
Kepler-113 c	628
Kepler-1130 b	904
Kepler-1130 c	1072
Kepler-1130 d	981
Kepler-1131 b	1159
Kepler-1132 b	384
Kepler-1133 b	703
Kepler-1134 b	611
Kepler-1135 b	451
Kepler-1136 b	922
Kepler-1137 b	1020
Kepler-1138 b	1080
Kepler-1139 b	1693
Kepler-114 b	586
Kepler-114 c	507
Kepler-114 d	446
Kepler-1140 b	500
Kepler-1141 b	1471
Kepler-1142 b	902
Kepler-1143 b	976
Kepler-1143 c	234
Kepler-1144 b	811
Kepler-1145 b	958
Kepler-1146 b	1019
Kepler-1147 b	872
Kepler-1148 b	1397
Kepler-1149 b	1128
Kepler-115 b	1489
Kepler-115 c	960
Kepler-1150 b	1432
Kepler-1151 b	485
Kepler-1152 b	806
Kepler-1153 b	1343
Kepler-1154 b	1314
Kepler-1154 c	1117
Kepler-1155 b	609
Kepler-1156 b	787
Kepler-1157 b	732
Kepler-1158 b	1079
Kepler-1159 b	677
Kepler-116 b	1251
Kepler-116 c	964
Kepler-1160 b	839
Kepler-1161 b	485
Kepler-1162 b	490
Kepler-1162 c	401
Kepler-1163 b	1211
Kepler-1164 b	936
Kepler-1165 b	946
Kepler-1165 c	644
Kepler-1166 b	486
Kepler-1167 b	1419
Kepler-1168 b	379
Kepler-1169 b	1125
Kepler-117 b	984
Kepler-117 c	704
Kepler-1170 b	705
Kepler-1171 b	2700
Kepler-1172 b	675
Kepler-1173 b	1650
Kepler-1174 b	1156
Kepler-1175 b	515
Kepler-1176 b	595
Kepler-1177 b	377
Kepler-1178 b	378
Kepler-1179 b	1137
Kepler-118 b	784
Kepler-118 c	564
Kepler-1180 b	765
Kepler-1181 b	1374
Kepler-1181 c	1124
Kepler-1182 b	796
Kepler-1183 b	555
Kepler-1184 b	529
Kepler-1185 b	355
Kepler-1186 b	724
Kepler-1187 b	701
Kepler-1188 b	775
Kepler-1189 b	1158
Kepler-119 b	1213
Kepler-119 c	1016
Kepler-1190 b	609
Kepler-1191 b	952
Kepler-1192 b	600
Kepler-1193 b	1453
Kepler-1194 b	676
Kepler-1195 b	702
Kepler-1196 b	436
Kepler-1197 b	1011
Kepler-1198 b	830
Kepler-1199 b	931
Kepler-12 b	1480
Kepler-120 b	575
Kepler-120 c	455
Kepler-1200 b	1174
Kepler-1201 b	789
Kepler-1202 b	547
Kepler-1203 b	1188
Kepler-1204 b	448
Kepler-1205 b	1667
Kepler-1206 b	1314
Kepler-1207 b	802
Kepler-1208 b	665
Kepler-1209 b	755
Kepler-121 b	997
Kepler-121 c	425
Kepler-1210 b	856
Kepler-1211 b	840
Kepler-1212 b	795
Kepler-1213 b	1156
Kepler-1214 b	591
Kepler-1215 b	1046
Kepler-1216 b	1191
Kepler-1217 b	1542
Kepler-1218 b	684
Kepler-1219 b	1159
Kepler-122 b	1159
Kepler-122 c	897
Kepler-122 d	747
Kepler-122 e	618
Kepler-122 f	543
Kepler-1220 b	899
Kepler-1221 b	632
Kepler-1222 b	1246
Kepler-1223 b	557
Kepler-1224 b	872
Kepler-1225 b	1453
Kepler-1226 b	809
Kepler-1227 b	369
Kepler-1228 b	1757
Kepler-1229 b	212
Kepler-123 b	817
Kepler-123 c	706
Kepler-1230 b	946
Kepler-1231 b	870
Kepler-1232 b	523
Kepler-1233 b	604
Kepler-1234 b	625
Kepler-1235 b	985
Kepler-1236 b	480
Kepler-1237 b	366
Kepler-1238 b	1389
Kepler-1239 b	1183
Kepler-124 b	892
Kepler-124 c	560
Kepler-124 d	428
Kepler-1240 b	1121
Kepler-1241 b	612
Kepler-1242 b	639
Kepler-1243 b	690
Kepler-1244 b	1839
Kepler-1245 b	1043
Kepler-1245 c	1190
Kepler-1246 b	554
Kepler-1247 b	676
Kepler-1248 b	1035
Kepler-1249 b	647
Kepler-125 b	590
Kepler-125 c	529
Kepler-1250 b	1431
Kepler-1251 b	487
Kepler-1252 b	665
Kepler-1253 b	501
Kepler-1254 b	660
Kepler-1254 c	927
Kepler-1254 d	794
Kepler-1255 b	694
Kepler-1256 b	933
Kepler-1257 b	1252
Kepler-1258 b	2335
Kepler-1259 b	1681
Kepler-126 b	1009
Kepler-126 c	790
Kepler-126 d	475
Kepler-1260 b	823
Kepler-1261 b	396
Kepler-1262 b	949
Kepler-1263 b	907
Kepler-1264 b	1677
Kepler-1265 b	732
Kepler-1266 b	489
Kepler-1266 c	881
Kepler-1267 b	774
Kepler-1268 b	627
Kepler-1269 b	657
Kepler-127 b	884
Kepler-127 c	698
Kepler-127 d	590
Kepler-1270 b	1598
Kepler-1271 b	1484
Kepler-1272 b	542
Kepler-1273 b	573
Kepler-1274 b	1384
Kepler-1275 b	1368
Kepler-1276 b	886
Kepler-1277 b	496
Kepler-1278 b	1213
Kepler-1279 b	738
Kepler-128 b	968
Kepler-128 c	843
Kepler-1280 b	757
Kepler-1281 b	1123
